ai_usefulness_score,ai_usefulness,observed_n,preferred_model,predicted_probability,standard_error,confidence_low_raw,confidence_high_raw,confidence_low,confidence_high
0,Strongly disagree,7,Human-led grading; AI support,0.7485400981749895,0.08918840950783975,0.5737340277012138,0.9233461686487651,0.5737340277012138,0.9233461686487651
0,Strongly disagree,7,AI initial feedback; universal human review,0.05833459516491708,0.03514053337592157,-0.0105395846494169,0.12720877497925107,0,0.12720877497925107
0,Strongly disagree,7,AI-led feedback; disputed-only human review,0.0013332898373510516,0.0019034840475825098,-0.0023974703410571934,0.005064050015759296,0,0.005064050015759296
0,Strongly disagree,7,No preference,0.19179201682274244,0.08307470310693753,0.0289685907067872,0.3546154429386977,0.0289685907067872,0.3546154429386977
1,Somewhat disagree,20,Human-led grading; AI support,0.6715139072738122,0.07045555045541856,0.5334235658702473,0.8096042486773771,0.5334235658702473,0.8096042486773771
1,Somewhat disagree,20,AI initial feedback; universal human review,0.11200433904690159,0.04481175985585052,0.024174903645576784,0.1998337744482264,0.024174903645576784,0.1998337744482264
1,Somewhat disagree,20,AI-led feedback; disputed-only human review,0.006201909907110613,0.006453617903382976,-0.006446948753502911,0.01885076856772414,0,0.01885076856772414
1,Somewhat disagree,20,No preference,0.2102798437721756,0.06165816920663768,0.08943205277448918,0.331127634769862,0.08943205277448918,0.331127634769862
2,Neither agree nor disagree,26,Human-led grading; AI support,0.5594147854677858,0.05215509804631147,0.45719267168685995,0.6616368992487116,0.45719267168685995,0.6616368992487116
2,Neither agree nor disagree,26,AI initial feedback; universal human review,0.19970203682540422,0.04509080140855705,0.11132569003058448,0.288078383620224,0.11132569003058448,0.288078383620224
2,Neither agree nor disagree,26,AI-led feedback; disputed-only human review,0.026789544224314607,0.017809329904078186,-0.008116100976470808,0.06169518942510002,0,0.06169518942510002
2,Neither agree nor disagree,26,No preference,0.21409363348249538,0.04252136570167594,0.13075328813375384,0.2974339788312369,0.13075328813375384,0.2974339788312369
3,Somewhat agree,55,Human-led grading; AI support,0.40321232959099546,0.04477050905823268,0.31546374426733514,0.49096091491465577,0.31546374426733514,0.49096091491465577
3,Somewhat agree,55,AI initial feedback; universal human review,0.30807118209785783,0.041213435084420144,0.22729433365321489,0.3888480305425008,0.22729433365321489,0.3888480305425008
3,Somewhat agree,55,AI-led feedback; disputed-only human review,0.10012121944173706,0.03421345523557898,0.033064079393328935,0.1671783594901452,0.033064079393328935,0.1671783594901452
3,Somewhat agree,55,No preference,0.18859526886940975,0.03618054535497942,0.11768270303263215,0.2595078347061873,0.11768270303263215,0.2595078347061873
4,Strongly agree,61,Human-led grading; AI support,0.22249827699085153,0.04775214505923661,0.1289057924902155,0.31609076149148757,0.1289057924902155,0.31609076149148757
4,Strongly agree,61,AI initial feedback; universal human review,0.3638418415475313,0.06171496283548331,0.2428827370827561,0.4848009460123065,0.2428827370827561,0.4848009460123065
4,Strongly agree,61,AI-led feedback; disputed-only human review,0.2864705102757829,0.0708888689799542,0.1475308801702941,0.42541014038127173,0.1475308801702941,0.42541014038127173
4,Strongly agree,61,No preference,0.12718937118583432,0.037910889801102854,0.05288539255380588,0.20149334981786277,0.05288539255380588,0.20149334981786277
